category_id,name,unit_of_measurement,price_reg,price_disc,pricing_clarification,check_date
73C24773,Оладьи По-домашнему Пятерочка Кафе 160г,шт,89.99,,160 г,2025-02-17
73C24773,Блинчики без начинки Пятерочка Кафе 200г,шт,99.99,,200 г,2025-02-17
73C24774,Молоко Домик в деревне пастеризованное 2.5% БЗМЖ 930мл,шт,89.99,,930 мл,2025-02-17
73C24774,Молоко Простоквашино отборное пастеризованное 3.4-4.5% БЗМЖ 930мл,шт,102.99,,930 мл,2025-02-17
73C24774,Молоко Красная Цена ультрапастеризованное 3.2% БЗМЖ 970мл,шт,84.99,,970 мл,2025-02-17
73C24774,Кефир Простоквашино 2.5% БЗМЖ 930г,шт,89.99,,930 мл,2025-02-17
73C24774,Молоко Домик в деревне отборное пастеризованное 3.7% БЗМЖ 1.4л,шт,159.99,,1.4 л,2025-02-17
73C24774,Молоко Му-у ультрапастеризованное 3.2% БЗМЖ 925мл,шт,104.99,,925 мл,2025-02-17
73C24774,Молоко Красная Цена ультрапастеризованное 2.5% БЗМЖ 0.97л,шт,79.99,,970 мл,2025-02-17
73C24774,Кефир Простоквашино 3.2% БЗМЖ 930г,шт,94.99,,930 мл,2025-02-17
73C24774,Молоко Му-у ультрапастеризованное 2.5% БЗМЖ 925мл,шт,109.99,,925 мл,2025-02-17
73C24774,Молоко Простоквашино безлактозное ультрапастеризованное 1.5% БЗМЖ 0.97л,шт,139.99,,970 мл,2025-02-17
73C24774,Молоко Домик в деревне 2.5% БЗМЖ 950г,шт,109.99,,950 г,2025-02-17
73C24774,Кефир Сарафаново детский 3.2% БЗМЖ 930г,шт,116.99,,930 мл,2025-02-17
73C24774,Кефир Красная цена 3.2% БЗМЖ 900г,шт,37.99,,900 мл,2025-02-17
73C24774,Молоко Parmalat Natura Premium питьевое ультрапастеризованное 3.5% БЗМЖ 1л,шт,148.99,,1 л,2025-02-17
73C24774,Кефир Простоквашино Коктейль с Клубникой обезжиренный БЗМЖ 900г,шт,119.99,,900 мл,2025-02-17
73C24775,Яйцо куриное столовое С1 10шт.,шт,89.99,,10 шт,2025-02-17
73C24775,Яйцо куриное отборное 10шт.,шт,96.99,,10 шт,2025-02-17
73C24775,Яйцо куриное С2 10шт.,шт,76.49,,10 шт,2025-02-17
73C24775,Яйцо куриное Окское столовое С1 10шт.,шт,119.99,,10 шт,2025-02-17
73C24775,Яйцо куриное Село Зеленое Деревенское С1 10шт.,шт,119.99,,10 шт,2025-02-17
73C24775,Яйца Волжанин куриные CO 10шт,шт,114.99,,750 г,2025-02-17
73C24775,Яйцо куриное Лето С1 20шт.,шт,234.99,,20 шт,2025-02-17
73C24775,Яйцо куриное Лето пищевое С1 10шт.,шт,114.99,,10 шт,2025-02-17
73C24775,Яйцо куриное Село Зеленое Деревенское С0 10шт.,шт,144.99,,10 шт,2025-02-17
73C24775,Яйцо куриное Волжанин С1 10шт.,шт,124.99,,650 г,2025-02-17
73C24776,Мука Makfa высшего сорта 2кг,шт,133.99,,2 кг,2025-02-17
73C24776,Мука Makfa Пшеничная высший сорт 1кг,шт,68.99,,1 кг,2025-02-17
73C24776,Мука Селяночка Пшеничная хлебопекарная высший сорт 1кг,шт,72.99,,1 кг,2025-02-17
73C24776,Сахар Сытое царство белый кристаллический свекловичный 500г,шт,40.99,,500 г,2025-02-17
73C24776,Мука Селяночка пшеничная хлебопекарная экстра 2кг,шт,169.99,,2 кг,2025-02-17
