,median_ru,percentile_10_ru,median_vn,percentile_10_vn,vn_ru_ratio,vn_cheaper_perc
onion,0.7390014666666667,0.58812392,0.9764286,0.7568302,1.321281004223537,-32.1281004223537
bread,2.2378002095238094,1.2988035999999998,2.9232254545454546,2.3214688,1.3062942089756526,-30.62942089756526
carrot,1.13865744,0.68690928,1.1724986,0.7411446,1.029720229114737,-2.972022911473693
tofu,6.9868392,5.96095296,1.3594186666666666,1.236453069090909,0.19456847764102922,80.54315223589708
soybean_oil,,,2.5449886000000004,2.32774304,,
egg,0.15133084266666663,0.1271567144,0.13541901333333334,0.1215634,0.8948540227957235,10.514597720427654
salt,1.4222929777777777,0.27518383999999996,0.32155480000000003,0.25332244,0.2260819711719342,77.39180288280659
banana,1.87940944,1.8672699519999998,1.156813,0.72702756,0.6155194155032019,38.44805844967981
ground_coffee,26.20846912,16.971383012173913,12.956184675770924,7.7330008,0.49435106707105997,50.564893292894
yogurt,5.822212444444444,3.144473813333333,3.313583,2.6926946666666667,0.5691278069321949,43.08721930678051
mango,6.0475185305263155,5.764487258105263,1.8803113,0.69487208,0.31092278436331744,68.90772156366826
eggplant,2.99114552,2.739555184,0.9293718,0.8729036400000001,0.3107076515622015,68.92923484377985
sugar,1.45485904,0.90637088,1.215634,1.0862278,0.8355682348442499,16.443176515575008
sunflower_oil,1.7577934400000002,1.4550320459259258,3.2351550000000002,2.67282624,1.8404636895220179,-84.04636895220179
cabbage,0.57480144,0.46866384000000005,0.6235026,0.529389,1.0847269276152127,-8.472692761521273
orange,2.3282356571428573,1.6582894400000001,1.666595,0.8823150000000001,0.7158188626168525,28.418113738314755
cucumber,4.9915076,3.666368608,1.137206,0.92623468,0.22782816157587338,77.21718384241267
spaghetti,1.8424209777777774,1.1661316,4.195898,3.0775147200000004,2.277382884046865,-127.73828840468649
black_tea,23.2775788,13.81311456888889,32.077052,25.332244,1.3780235597355168,-37.802355973551684
green_tea,24.320988800000002,14.703374400000001,24.47607166666667,9.948591799999999,1.006376503354447,-0.637650335444695
rice_noodles,8.1477192,7.210390448493393,2.6959625000000003,1.9231199166666668,0.33088554401825737,66.91144559817425
tomato,10.52486976,5.1211392,1.873775633333333,1.0442688199999999,0.17803314207788667,82.19668579221133
condensed_milk,5.0440236,3.7361066971428567,2.724341052631579,1.9814161023118542,0.5401126697011447,45.98873302988553
rice,2.4873236,1.5306036960000002,1.3881756,0.8438852800000001,0.5581001201452035,44.189987985479654
water,0.61294464,0.26594424135449735,0.372182875,0.23179831111111113,0.6072047142789274,39.27952857210726
milk,1.38188944,1.0736652361703227,1.8823751947368423,1.4184451996497796,1.3621749615054894,-36.217496150548946
pork_leg,4.830053146666666,3.683538576,6.1938513,5.546036020000001,1.2823567592158946,-28.235675921589465
buckwheat,1.805690488888889,1.00897056,4.195898,4.195898,2.3237083131461236,-132.37083131461236
fish_sauce,9.31003648,9.31003648,5.046391803278688,2.117556,0.5420378120020737,45.79621879979263
water_spinach,,,1.890675,1.137206,,
chicken_fillet,5.748874311111111,5.272267349333333,3.8802253,3.4194608000000004,0.6749539283717705,32.50460716282295
