supermarket,product_category,count
Co.op,banana,5
Co.op,black_tea,14
Co.op,bread,13
Co.op,cabbage,2
Co.op,carrot,4
Co.op,chicken_fillet,6
Co.op,condensed_milk,18
Co.op,cucumber,5
Co.op,egg,20
Co.op,eggplant,1
Co.op,fish_sauce,77
Co.op,green_tea,50
Co.op,ground_coffee,25
Co.op,mango,11
Co.op,milk,71
Co.op,onion,3
Co.op,orange,7
Co.op,pork_leg,6
Co.op,rice,60
Co.op,rice_noodles,14
Co.op,salt,18
Co.op,soybean_oil,20
Co.op,spaghetti,9
Co.op,sugar,16
Co.op,sunflower_oil,4
Co.op,tofu,6
Co.op,tomato,12
Co.op,water,62
Co.op,water_spinach,8
Co.op,yogurt,48
Lenta,banana,2
Lenta,black_tea,187
Lenta,bread,95
Lenta,buckwheat,23
Lenta,cabbage,2
Lenta,carrot,4
Lenta,chicken_fillet,6
Lenta,condensed_milk,18
Lenta,cucumber,9
Lenta,egg,41
Lenta,eggplant,1
Lenta,fish_sauce,1
Lenta,green_tea,55
Lenta,ground_coffee,81
Lenta,mango,1
Lenta,milk,84
Lenta,onion,4
Lenta,orange,6
Lenta,pork_leg,3
Lenta,rice,74
Lenta,rice_noodles,5
Lenta,salt,11
Lenta,spaghetti,14
Lenta,sugar,14
Lenta,sunflower_oil,19
Lenta,tofu,4
Lenta,tomato,22
Lenta,water,62
Lenta,yogurt,114
Pyaterochka,banana,2
Pyaterochka,black_tea,83
Pyaterochka,bread,52
Pyaterochka,buckwheat,9
Pyaterochka,cabbage,1
Pyaterochka,carrot,3
Pyaterochka,chicken_fillet,2
Pyaterochka,condensed_milk,9
Pyaterochka,cucumber,9
Pyaterochka,egg,12
Pyaterochka,eggplant,1
Pyaterochka,green_tea,17
Pyaterochka,ground_coffee,16
Pyaterochka,mango,1
Pyaterochka,milk,39
Pyaterochka,onion,2
Pyaterochka,orange,3
Pyaterochka,pork_leg,1
Pyaterochka,rice,27
Pyaterochka,salt,6
Pyaterochka,spaghetti,8
Pyaterochka,sugar,9
Pyaterochka,sunflower_oil,10
Pyaterochka,tofu,1
Pyaterochka,tomato,9
Pyaterochka,water,34
Pyaterochka,yogurt,44
Winmart,banana,4
Winmart,black_tea,6
Winmart,bread,4
Winmart,buckwheat,1
Winmart,cabbage,1
Winmart,carrot,1
Winmart,chicken_fillet,4
Winmart,condensed_milk,10
Winmart,cucumber,3
Winmart,egg,4
Winmart,eggplant,1
Winmart,fish_sauce,34
Winmart,green_tea,11
Winmart,ground_coffee,13
Winmart,mango,7
Winmart,milk,22
Winmart,onion,1
Winmart,orange,2
Winmart,pork_leg,2
Winmart,rice,7
Winmart,rice_noodles,2
Winmart,salt,1
Winmart,soybean_oil,15
Winmart,spaghetti,10
Winmart,sugar,4
Winmart,sunflower_oil,5
Winmart,tofu,3
Winmart,tomato,6
Winmart,water,10
Winmart,water_spinach,3
Winmart,yogurt,15
