,median_ru,median_vn,vn_ru_ratio
tomato,10.52486976,1.873775633333333,0.17803314207788667
eggplant,2.99114552,0.9293718,0.3107076515622015
rice_noodles,8.1477192,2.6959625000000003,0.33088554401825737
spaghetti,1.8424209777777774,4.195898,2.277382884046865
yogurt,5.822212444444444,3.313583,0.5691278069321949
buckwheat,1.805690488888889,,
carrot,1.13865744,1.1724986,1.029720229114737
fish_sauce,9.31003648,5.046391803278688,0.5420378120020737
tofu,6.9868392,1.3729568333333333,0.1965061444856686
sunflower_oil,1.7577934400000002,3.2351550000000002,1.8404636895220179
mango,6.0475185305263155,1.8803113,0.31092278436331744
salt,1.4222929777777777,0.32155480000000003,0.2260819711719342
soybean_oil,,2.5449886000000004,
green_tea,24.320988800000002,24.47607166666667,1.006376503354447
pork_leg,4.830053146666666,6.1938513,1.2823567592158946
sugar,1.45485904,1.215634,0.8355682348442499
egg,0.15133084266666663,0.13541901333333334,0.8948540227957235
banana,1.87940944,1.156813,0.6155194155032019
rice,2.4873236,1.3881756,0.5581001201452035
chicken_fillet,5.755022675555556,3.8802253,0.6742328429879603
onion,0.7390014666666667,0.9764286,1.321281004223537
ground_coffee,26.20846912,12.956184675770924,0.49435106707105997
cucumber,4.9915076,1.137206,0.22782816157587338
condensed_milk,5.0440236,2.724341052631579,0.5401126697011447
black_tea,23.2775788,32.077052,1.3780235597355168
orange,2.3282356571428573,1.666595,0.7158188626168525
cabbage,0.57480144,0.6235026,1.0847269276152127
water_spinach,,1.890675,
water,0.61294464,0.372182875,0.6072047142789274
bread,2.2378002095238094,2.9232254545454546,1.3062942089756526
milk,1.38188944,1.8823751947368423,1.3621749615054894
